4443  4482 I GGUFNativeStderr: tensor blk.20.attn_output.weight (0 MiB q5_0) buffer type overridden to Vulkan0
09-19 20:15:03.975  1557  4295 I MdiSyncModule: flag handling is skipping irrelevant intent.
09-19 20:15:03.975  1557  4188 I NearbySharing: Runtime state initialization complete. Sharing is enabled. [CONTEXT service_id=194 ]
09-19 20:15:03.975  1557  4295 W ModuleInitIntentOp: Dropping unexpected action com.google.android.gms.phenotype.COMMITTED
09-19 20:15:03.975  1186  1186 I NearbySharing: SendSurfaceService started [CONTEXT service_id=194 ]
09-19 20:15:03.976  1557  4295 I GmsSyncPolicyEngine: Periodic sync 1 disabled by policy, cancelled.
09-19 20:15:03.976  1557  4295 I GmsSyncPolicyEngine: Periodic sync 2 disabled by policy, cancelled.
09-19 20:15:03.976  1557  3729 I LocationHistory: [IntentOperation] Handling action com.google.android.gms.phenotype.COMMITTED [CONTEXT service_id=314 ]
09-19 20:15:03.977  1557  4295 I GmsSyncPolicyEngine: Periodic sync 3 disabled by policy, cancelled.
09-19 20:15:03.987   560  1994 W IPCThreadState: Sending oneway calls to frozen process.
09-19 20:15:03.999  1186  4277 W PlatformConfigurator: Update for unknown DeviceConfig package com.google.android.gms.icing.mdd [CONTEXT service_id=204 ]
09-19 20:15:03.999  1186  4277 W PlatformConfigurator: daaf: No package exists for config package: com.google.android.gms.icing.mdd
09-19 20:15:03.999  1186  4277 W PlatformConfigurator: 	at com.google.android.gms.platformconfigurator.PhenotypeConfigurationUpdateListener.b(:com.google.android.gms@242335041@24.23.35 (190800-646585959):233)
09-19 20:15:03.999  1186  4277 W PlatformConfigurator: 	at com.google.android.gms.platformconfigurator.PhenotypeConfigurationUpdateListener.a(:com.google.android.gms@242335041@24.23.35 (190800-646585959):29)
09-19 20:15:03.999  1186  4277 W PlatformConfigurator: 	at com.google.android.gms.platformconfigurator.PhenotypeConfigurationUpdateListener.onHandleIntent(:com.google.android.gms@242335041@24.23.35 (190800-646585959):207)
09-19 20:15:03.999  1186  4277 W PlatformConfigurator: 	at com.google.android.chimera.IntentOperation.onHandleIntent(:com.google.android.gms@242335041@24.23.35 (190800-646585959):2)
09-19 20:15:03.999  1186  4277 W PlatformConfigurator: 	at ajom.onHandleIntent(:com.google.android.gms@242335041@24.23.35 (190800-646585959):8)
09-19 20:15:03.999  1186  4277 W PlatformConfigurator: 	at pkf.run(:com.google.android.gms@242335041@24.23.35 (190800-646585959):70)
09-19 20:15:03.999  1186  4277 W PlatformConfigurator: 	at pke.run(:com.google.android.gms@242335041@24.23.35 (190800-646585959):152)
09-19 20:15:03.999  1186  4277 W PlatformConfigurator: 	at emsz.run(:com.google.android.gms@242335041@24.23.35 (190800-646585959):21)
09-19 20:15:03.999  1186  4277 W PlatformConfigurator: 	at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1145)
09-19 20:15:03.999  1186  4277 W PlatformConfigurator: 	at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:644)
09-19 20:15:03.999  1186  4277 W PlatformConfigurator: 	at java.lang.Thread.run(Thread.java:1012)
09-19 20:15:04.005  1186  3011 W CCTFlatFileLogStore: Excessive logging: 512 events, 918565 bytes from log source PHENOTYPE last 8s
09-19 20:15:04.007  1557  3727 E MDD     : FileGroupManager: Trying to add expired group enpromo-state-config.
09-19 20:15:04.007  1557  3727 W MDD     : MDDManager class dwld
09-19 20:15:04.016  1557  4199 I DckStubModuleInit: Loading stub module components [CONTEXT service_id=289 ]
09-19 20:15:04.016  1557  4199 I Dck     : disableDckSupport: false [CONTEXT service_id=289 ]
09-19 20:15:04.016  1557  4199 I Dck     : doesDeviceHaveSupportedWirelessCapabilities: wccSysProp:0, wccMendel:3, deviceWccOverride:false [CONTEXT service_id=289 ]
09-19 20:15:04.016  1557  4199 I Dck     : Dck module condition - hasWccSupport: false [CONTEXT service_id=289 ]
09-19 20:15:04.016  1557  4199 I Dck     : Dck module condition - downloadAllowed: false [CONTEXT service_id=289 ]
09-19 20:15:04.016  1557  4199 W Dck     : Dck module not eligible for asynchronous downloading [CONTEXT service_id=289 ]
09-19 20:15:04.022  1186  4277 W PlatformConfigurator: Update for unknown DeviceConfig package com.google.android.gms.dck [CONTEXT service_id=204 ]
09-19 20:15:04.022  1186  4277 W PlatformConfigurator: daaf: No package exists for config package: com.google.android.gms.dck
09-19 20:15:04.022  1186  4277 W PlatformConfigurator: 	at com.google.android.gms.platformconfigurator.PhenotypeConfigurationUpdateListener.b(:com.google.android.gms@242335041@24.23.35 (190800-646585959):233)
09-19 20:15:04.022  1186  4277 W PlatformConfigurator: 	at com.google.android.gms.platformconfigurator.PhenotypeConfigurationUpdateListener.a(:com.google.android.gms@242335041@24.23.35 (190800-646585959):29)
09-19 20:15:04.022  1186  4277 W PlatformConfigurator: 	at com.google.android.gms.platformconfigurator.PhenotypeConfigurationUpdateListener.onHandleIntent(:com.google.android.gms@242335041@24.23.35 (190800-646585959):207)
09-19 20:15:04.022  1186  4277 W PlatformConfigurator: 	at com.google.android.chimera.IntentOperation.onHandleIntent(:com.google.android.gms@242335041@24.23.35 (190800-646585959):2)
09-19 20:15:04.022  1186  4277 W PlatformConfigurator: 	at ajom.onHandleIntent(:com.google.android.gms@242335041@24.23.35 (190800-646585959):8)
09-19 20:15:04.022  1186  4277 W PlatformConfigurator: 	at pkf.run(:com.google.android.gms@242335041@24.23.35 (190800-646585959):70)
09-19 20:15:04.022  1186  4277 W PlatformConfigurator: 	at pke.run(:com.google.android.gms@242335041@24.23.35 (190800-646585959):152)
09-19 20:15:04.022  1186  4277 W PlatformConfigurator: 	at emsz.run(:com.google.android.gms@242335041@24.23.35 (190800-646585959):21)
09-19 20:15:04.022  1186  4277 W PlatformConfigurator: 	at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1145)
09-19 20:15:04.022  1186  4277 W PlatformConfigurator: 	at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:644)
09-19 20:15:04.022  1186  4277 W PlatformConfigurator: 	at java.lang.Thread.run(Thread.java:1012)
09-19 20:15:04.037  1186  4277 W PlatformConfigurator: Update for unknown DeviceConfig package com.google.android.gms.ocr [CONTEXT service_id=204 ]
09-19 20:15:04.037  1186  4277 W PlatformConfigurator: daaf: No package exists for config package: com.google.android.gms.ocr
09-19 20:15:04.037  1186  4277 W PlatformConfigurator: 	at com.google.android.gms.platformconfigurator.PhenotypeConfigurationUpdateListener.b(:com.google.android.gms@242335041@24.23.35 (190800-646585959):233)
09-19 20:15:04.037  1186  4277 W PlatformConfigurator: 	at com.google.android.gms.platformconfigurator.PhenotypeConfigurationUpdateListener.a(:com.google.android.gms@242335041@24.23.35 (190800-646585959):29)
09-19 20:15:04.037  1186  4277 W PlatformConfigurator: 	at com.google.android.gms.platformconfigurator.PhenotypeConfigurationUpdateListener.onHandleIntent(:com.google.android.gms@242335041@24.23.35 (190800-646585959):207)
09-19 20:15:04.037  1186  4277 W PlatformConfigurator: 	at com.google.android.chimera.IntentOperation.onHandleIntent(:com.google.android.gms@242335041@24.23.35 (190800-646585959):2)
09-19 20:15:04.037  1186  4277 W PlatformConfigurator: 	at ajom.onHandleIntent(:com.google.android.gms@242335041@24.23.35 (190800-646585959):8)
09-19 20:15:04.037  1186  4277 W PlatformConfigurator: 	at pkf.run(:com.google.android.gms@242335041@24.23.35 (190800-646585959):70)
09-19 20:15:04.037  1186  4277 W PlatformConfigurator: 	at pke.run(:com.google.android.gms@242335041@24.23.35 (190800-646585959):152)
09-19 20:15:04.037  1186  4277 W PlatformConfigurator: 	at emsz.run(:com.google.android.gms@242335041@24.23.35 (190800-646585959):21)
09-19 20:15:04.037  1186  4277 W PlatformConfigurator: 	at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1145)
09-19 20:15:04.037  1186  4277 W PlatformConfigurator: 	at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:644)
09-19 20:15:04.037  1186  4277 W PlatformConfigurator: 	at java.lang.Thread.run(Thread.java:1012)
09-19 20:15:04.041  1186  4108 W NetworkScheduler: The extras of the task (com.google.android.gms.ocr.service.ModelCleanUpTaskService:type_[2]) are not valid to be persisted so that the task is not persisted [CONTEXT service_id=218 ]
09-19 20:15:04.041  1186  4108 W NetworkScheduler: java.lang.IllegalArgumentException: Only the following extra parameter types are supported: Integer, Long, Double, String, Boolean, and nested Bundles with the same restrictions.
09-19 20:15:04.041  1186  4108 W NetworkScheduler: 	at bpky.f(:com.google.android.gms@242335041@24.23.35 (190800-646585959):69)
09-19 20:15:04.041  1186  4108 W NetworkScheduler: 	at dcbg.d(:com.google.android.gms@242335041@24.23.35 (190800-646585959):510)
09-19 20:15:04.041  1186  4108 W NetworkScheduler: 	at dbyt.n(:com.google.android.gms@242335041@24.23.35 (190800-646585959):29)
09-19 20:15:04.041  1186  4108 W NetworkScheduler: 	at dbyt.u(:com.google.android.gms@242335041@24.23.35 (190800-646585959):360)
09-19 20:15:04.041  1186  4108 W NetworkScheduler: 	at dbyt.h(:com.google.android.gms@242335041@24.23.35 (190800-646585959):51)
09-19 20:15:04.041  1186  4108 W NetworkScheduler: 	at dbto.run(:com.google.android.gms@242335041@24.23.35 (190800-646585959):72)
09-19 20:15:04.041  1186  4108 W NetworkScheduler: 	at angs.c(:com.google.android.gms@242335041@24.23.35 (190800-646585959):50)
09-19 20:15:04.041  1186  4108 W NetworkScheduler: 	at angs.run(:com.google.android.gms@242335041@24.23.35 (190800-646585959):76)
09-19 20:15:04.041  1186  4108 W NetworkScheduler: 	at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1145)
09-19 20:15:04.041  1186  4108 W NetworkScheduler: 	at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:644)
09-19 20:15:04.041  1186  4108 W NetworkScheduler: 	at anmg.run(:com.google.android.gms@242335041@24.23.35 (190800-646585959):8)
09-19 20:15:04.041  1186  4108 W NetworkScheduler: 	at java.lang.Thread.run(Thread.java:1012)
09-19 20:15:04.066   560   644 W IPCThreadState: Sending oneway calls to frozen process.
09-19 20:15:04.070  1557  4199 I Pay     : A Phenotype flag has been updated. [CONTEXT service_id=198 ]
09-19 20:15:04.086  1186  2026 W PlatformConfigurator: Update for unknown DeviceConfig package com.google.android.gms.pay [CONTEXT service_id=204 ]
09-19 20:15:04.086  1186  2026 W PlatformConfigurator: daaf: No package exists for config package: com.google.android.gms.pay
09-19 20:15:04.086  1186  2026 W PlatformConfigurator: 	at com.google.android.gms.platformconfigurator.PhenotypeConfigurationUpdateListener.b(:com.google.android.gms@242335041@24.23.35 (190800-646585959):233)
09-19 20:15:04.086  1186  2026 W PlatformConfigurator: 	at com.google.android.gms.platformconfigurator.PhenotypeConfigurationUpdateListener.a(:com.google.android.gms@242335041@24.23.35 (190800-646585959):29)
09-19 20:15:04.086  1186  2026 W PlatformConfigurator: 	at com.google.android.gms.platformconfigurator.PhenotypeConfigurationUpdateListener.onHandleIntent(:com.google.android.gms@242335041@24.23.35 (190800-646585959):207)
09-19 20:15:04.086  1186  2026 W PlatformConfigurator: 	at com.google.android.chimera.IntentOperation.onHandleIntent(:com.google.android.gms@242335041@24.23.35 (190800-646585959):2)
09-19 20:15:04.086  1186  2026 W PlatformConfigurator: 	at ajom.onHandleIntent(:com.google.android.gms@242335041@24.23.35 (190800-646585959):8)
09-19 20:15:04.086  1186  2026 W PlatformConfigurator: 	at pkf.run(:com.google.android.gms@242335041@24.23.35 (190800-646585959):70)
09-19 20:15:04.086  1186  2026 W PlatformConfigurator: 	at pke.run(:com.google.android.gms@242335041@24.23.35 (190800-646585959):152)
09-19 20:15:04.086  1186  2026 W PlatformConfigurator: 	at emsz.run(:com.google.android.gms@242335041@24.23.35 (190800-646585959):21)
09-19 20:15:04.086  1186  2026 W PlatformConfigurator: 	at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1145)
09-19 20:15:04.086  1186  2026 W PlatformConfigurator: 	at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:644)
09-19 20:15:04.086  1186  2026 W PlatformConfigurator: 	at java.lang.Thread.run(Thread.java:1012)
09-19 20:15:04.098   560   644 W IPCThreadState: Sending oneway calls to frozen process.
09-19 20:15:04.103  1557  4295 W ModuleInitIntentOp: Dropping unexpected action com.google.android.gms.phenotype.COMMITTED
09-19 20:15:04.103  1557  4295 W ModuleInitIntentOp: Dropping unexpected action com.google.android.gms.phenotype.COMMITTED
09-19 20:15:04.104  1186  4527 I PTCommittedOperation: Receive new configuration for com.google.android.gms.constellation
09-19 20:15:04.108  1557  4099 W ModuleInitIntentOp: Dropping unexpected action com.google.android.gms.phenotype.COMMITTED
09-19 20:15:04.108  1557  4099 I SyncIntentOperation: Handling the intent: Intent { act=com.google.android.gms.phenotype.COMMITTED pkg=com.google.android.gms cmp=com.google.android.gms/.chimera.GmsIntentOperationService (has extras) }. [CONTEXT service_id=80 ]
09-19 20:15:04.108  1557  4294 I MdiSyncModule: flag handling is skipping irrelevant intent.
09-19 20:15:04.109  1557  4186 I MlBenchmarkInstaller: Intent: com.google.android.gms.phenotype.COMMITTED [CONTEXT service_id=340 ]
09-19 20:15:04.109  1557  4186 I MlBenchmarkInstaller: COMMITTED Extra package name: com.google.android.gms.constellation [CONTEXT service_id=340 ]
09-19 20:15:04.114  1557  2543 W ModuleInitIntentOp: Dropping unexpected action com.google.android.gms.phenotype.COMMITTED
09-19 20:15:04.114  1557  2543 I LocationHistory: [IntentOperation] Handling action com.google.android.gms.phenotype.COMMITTED [CONTEXT service_id=314 ]
09-19 20:15:04.115  1557  4099 I GmsSyncPolicyEngine: Periodic sync 1 disabled by policy, cancelled.
09-19 20:15:04.115  1557  4099 I GmsSyncPolicyEngine: Periodic sync 2 disabled by policy, cancelled.
09-19 20:15:04.115  1557  4099 I GmsSyncPolicyEngine: Periodic sync 3 disabled by policy, cancelled.
09-19 20:15:04.116  1186  2026 W PlatformConfigurator: Update for unknown DeviceConfig package com.google.android.gms.constellation [CONTEXT service_id=204 ]
09-19 20:15:04.116  1186  2026 W PlatformConfigurator: daaf: No package exists for config package: com.google.android.gms.constellation
09-19 20:15:04.116  1186  2026 W PlatformConfigurator: 	at com.google.android.gms.platformconfigurator.PhenotypeConfigurationUpdateListener.b(:com.google.android.gms@242335041@24.23.35 (190800-646585959):233)
09-19 20:15:04.116  1186  2026 W PlatformConfigurator: 	at com.google.android.gms.platformconfigurator.PhenotypeConfigurationUpdateListener.a(:com.google.android.gms@242335041@24.23.35 (190800-646585959):29)
09-19 20:15:04.116  1186  2026 W PlatformConfigurator: 	at com.google.android.gms.platformconfigurator.PhenotypeConfigurationUpdateListener.onHandleIntent(:com.google.android.gms@242335041@24.23.35 (190800-646585959):207)
09-19 20:15:04.116  1186  2026 W PlatformConfigurator: 	at com.google.android.chimera.IntentOperation.onHandleIntent(:com.google.android.gms@242335041@24.23.35 (190800-646585959):2)
09-19 20:15:04.116  1186  2026 W PlatformConfigurator: 	at ajom.onHandleIntent(:com.google.android.gms@242335041@24.23.35 (190800-646585959):8)
09-19 20:15:04.116  1186  2026 W PlatformConfigurator: 	at pkf.run(:com.google.android.gms@242335041@24.23.35 (190800-646585959):70)
09-19 20:15:04.116  1186  2026 W PlatformConfigurator: 	at pke.run(:com.google.android.gms@242335041@24.23.35 (190800-646585959):152)
09-19 20:15:04.116  1186  2026 W PlatformConfigurator: 	at emsz.run(:com.google.android.gms@242335041@24.23.35 (190800-646585959):21)
09-19 20:15:04.116  1186  2026 W PlatformConfigurator: 	at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1145)
09-19 20:15:04.116  1186  2026 W PlatformConfigurator: 	at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:644)
09-19 20:15:04.116  1186  2026 W PlatformConfigurator: 	at java.lang.Thread.run(Thread.java:1012)
09-19 20:15:04.122  1557  4199 I Pay     : Requested check of feature migrations. [CONTEXT service_id=198 ]
09-19 20:15:04.123  1557  4199 I Pay     : Scheduling sync auth setting task. [CONTEXT service_id=198 ]
09-19 20:15:04.124  1186  4190 W PlatformConfigurator: Update for unknown DeviceConfig package com.google.android.gms.thunderbird [CONTEXT service_id=204 ]
09-19 20:15:04.124  1186  4190 W PlatformConfigurator: daaf: No package exists for config package: com.google.android.gms.thunderbird
09-19 20:15:04.124  1186  4190 W PlatformConfigurator: 	at com.google.android.gms.platformconfigurator.PhenotypeConfigurationUpdateListener.b(:com.google.android.gms@242335041@24.23.35 (190800-646585959):233)
09-19 20:15:04.124  1186  4190 W PlatformConfigurator: 	at com.google.android.gms.platformconfigurator.PhenotypeConfigurationUpdateListener.a(:com.google.android.gms@242335041@24.23.35 (190800-646585959):29)
09-19 20:15:04.124  1186  4190 W PlatformConfigurator: 	at com.google.android.gms.platformconfigurator.PhenotypeConfigurationUpdateListener.onHandleIntent(:com.google.android.gms@242335041@24.23.35 (190800-646585959):207)
09-19 20:15:04.124  1186  4190 W PlatformConfigurator: 	at com.google.android.chimera.IntentOperation.onHandleIntent(:com.google.android.gms@242335041@24.23.35 (190800-646585959):2)
09-19 20:15:04.124  1186  4190 W PlatformConfigurator: 	at ajom.onHandleIntent(:com.google.android.gms@242335041@24.23.35 (190800-646585959):8)
09-19 20:15:04.124  1186  4190 W PlatformConfigurator: 	at pkf.run(:com.google.android.gms@242335041@24.23.35 (190800-646585959):70)
09-19 20:15:04.124  1186  4190 W PlatformConfigurator: 	at pke.run(:com.google.android.gms@242335041@24.23.35 (190800-646585959):152)
09-19 20:15:04.124  1186  4190 W PlatformConfigurator: 	at emsz.run(:com.google.android.gms@242335041@24.23.35 (190800-646585959):21)
09-19 20:15:04.124  1186  4190 W PlatformConfigurator: 	at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1145)
09-19 20:15:04.124  1186  4190 W PlatformConfigurator: 	at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:644)
09-19 20:15:04.124  1186  4190 W PlatformConfigurator: 	at java.lang.Thread.run(Thread.java:1012)
09-19 20:15:04.144  1557  4163 W ModuleInitIntentOp: Dropping unexpected action com.google.android.gms.phenotype.COMMITTED
09-19 20:15:04.145  1557  4163 W ModuleInitIntentOp: Dropping unexpected action com.google.android.gms.phenotype.COMMITTED
09-19 20:15:04.145  1557  4199 W ModuleInitIntentOp: Dropping unexpected action com.google.android.gms.phenotype.COMMITTED
09-19 20:15:04.145  1557  4199 I SyncIntentOperation: Handling the intent: Intent { act=com.google.android.gms.phenotype.COMMITTED pkg=com.google.android.gms cmp=com.google.android.gms/.chimera.GmsIntentOperationService (has extras) }. [CONTEXT service_id=80 ]
09-19 20:15:04.145  1557  4182 I MdiSyncModule: flag handling is skipping irrelevant intent.
09-19 20:15:04.146  1557  4181 W ModuleInitIntentOp: Dropping unexpected action com.google.android.gms.phenotype.COMMITTED
09-19 20:15:04.146  1557  4181 I GmsSyncPolicyEngine: Periodic sync 1 disabled by policy, cancelled.
09-19 20:15:04.146  1557  4181 I GmsSyncPolicyEngine: Periodic sync 2 disabled by policy, cancelled.
09-19 20:15:04.146  1557  1880 I MlBenchmarkInstaller: Intent: com.google.android.gms.phenotype.COMMITTED [CONTEXT service_id=340 ]
09-19 20:15:04.146  1557  1880 I MlBenchmarkInstaller: COMMITTED Extra package name: com.google.android.gms.clearcut.public [CONTEXT service_id=340 ]
09-19 20:15:04.146  1557  1880 I LocationHistory: [IntentOperation] Handling action com.google.android.gms.phenotype.COMMITTED [CONTEXT service_id=314 ]
09-19 20:15:04.147  1557  4181 I GmsSyncPolicyEngine: Periodic sync 3 disabled by policy, cancelled.
09-19 20:15:04.153  1186  4277 W PlatformConfigurator: Update for unknown DeviceConfig package com.google.android.gms.clearcut.public [CONTEXT service_id=204 ]
09-19 20:15:04.153  1186  4277 W PlatformConfigurator: daaf: No package exists for config package: com.google.android.gms.clearcut.public
09-19 20:15:04.153  1186  4277 W PlatformConfigurator: 	at com.google.android.gms.platformconfigurator.PhenotypeConfigurationUpdateListener.b(:com.google.android.gms@242335041@24.23.35 (190800-646585959):233)
09-19 20:15:04.153  1186  4277 W PlatformConfigurator: 	at com.google.android.gms.platformconfigurator.PhenotypeConfigurationUpdateListener.a(:com.google.android.gms@242335041@24.23.35 (190800-646585959):29)
09-19 20:15:04.153  1186  4277 W PlatformConfigurator: 	at com.google.android.gms.platformconfigurator.PhenotypeConfigurationUpdateListener.onHandleIntent(:com.google.android.gms@242335041@24.23.35 (190800-646585959):207)
09-19 20:15:04.153  1186  4277 W PlatformConfigurator: 	at com.google.android.chimera.IntentOperation.onHandleIntent(:com.google.android.gms@242335041@24.23.35 (190800-646585959):2)
09-19 20:15:04.153  1186  4277 W PlatformConfigurator: 	at ajom.onHandleIntent(:com.google.android.gms@242335041@24.23.35 (190800-646585959):8)
09-19 20:15:04.153  1186  4277 W PlatformConfigurator: 	at pkf.run(:com.google.android.gms@242335041@24.23.35 (190800-646585959):70)
09-19 20:15:04.153  1186  4277 W PlatformConfigurator: 	at pke.run(:com.google.android.gms@242335041@24.23.35 (190800-646585959):152)
09-19 20:15:04.153  1186  4277 W PlatformConfigurator: 	at emsz.run(:com.google.android.gms@242335041@24.23.35 (190800-646585959):21)
09-19 20:15:04.153  1186  4277 W PlatformConfigurator: 	at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1145)
09-19 20:15:04.153  1186  4277 W PlatformConfigurator: 	at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:644)
09-19 20:15:04.153  1186  4277 W PlatformConfigurator: 	at java.lang.Thread.run(Thread.java:1012)
09-19 20:15:04.155  1186  4275 I PTCommittedOperation: Receive new configuration for com.google.android.gms.clearcut.public
09-19 20:15:04.189  1186  2026 W PlatformConfigurator: Update for unknown DeviceConfig package com.google.android.gms.fitness [CONTEXT service_id=204 ]
09-19 20:15:04.189  1186  2026 W PlatformConfigurator: daaf: No package exists for config package: com.google.android.gms.fitness
09-19 20:15:04.189  1186  2026 W PlatformConfigurator: 	at com.google.android.gms.platformconfigurator.PhenotypeConfigurationUpdateListener.b(:com.google.android.gms@242335041@24.23.35 (190800-646585959):233)
09-19 20:15:04.189  1186  2026 W PlatformConfigurator: 	at com.google.android.gms.platformconfigurator.PhenotypeConfigurationUpdateListener.a(:com.google.android.gms@242335041@24.23.35 (190800-646585959):29)
09-19 20:15:04.189  1186  2026 W PlatformConfigurator: 	at com.google.android.gms.platformconfigurator.PhenotypeConfigurationUpdateListener.onHandleIntent(:com.google.android.gms@242335041@24.23.35 (190800-646585959):207)
09-19 20:15:04.189  1186  2026 W PlatformConfigurator: 	at com.google.android.chimera.IntentOperation.onHandleIntent(:com.google.android.gms@242335041@24.23.35 (190800-646585959):2)
09-19 20:15:04.189  1186  2026 W PlatformConfigurator: 	at ajom.onHandleIntent(:com.google.android.gms@242335041@24.23.35 (190800-646585959):8)
09-19 20:15:04.189  1186  2026 W PlatformConfigurator: 	at pkf.run(:com.google.android.gms@242335041@24.23.35 (190800-646585959):70)
09-19 20:15:04.189  1186  2026 W PlatformConfigurator: 	at pke.run(:com.google.android.gms@242335041@24.23.35 (190800-646585959):152)
09-19 20:15:04.189  1186  2026 W PlatformConfigurator: 	at emsz.run(:com.google.android.gms@242335041@24.23.35 (190800-646585959):21)
09-19 20:15:04.189  1186  2026 W PlatformConfigurator: 	at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1145)
09-19 20:15:04.189  1186  2026 W PlatformConfigurator: 	at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:644)
09-19 20:15:04.189  1186  2026 W PlatformConfigurator: 	at java.lang.Thread.run(Thread.java:1012)
09-19 20:15:04.216  1186  4275 W PlatformConfigurator: Update for unknown DeviceConfig package com.google.android.gms.locationsharingreporter [CONTEXT service_id=204 ]
09-19 20:15:04.216  1186  4275 W PlatformConfigurator: daaf: No package exists for config package: com.google.android.gms.locationsharingreporter
09-19 20:15:04.216  1186  4275 W PlatformConfigurator: 	at com.google.android.gms.platformconfigurator.PhenotypeConfigurationUpdateListener.b(:com.google.android.gms@242335041@24.23.35 (190800-646585959):233)
09-19 20:15:04.216  1186  4275 W PlatformConfigurator: 	at com.google.android.gms.platformconfigurator.PhenotypeConfigurationUpdateListener.a(:com.google.android.gms@242335041@24.23.35 (190800-646585959):29)
09-19 20:15:04.216  1186  4275 W PlatformConfigurator: 	at com.google.android.gms.platformconfigurator.PhenotypeConfigurationUpdateListener.onHandleIntent(:com.google.android.gms@242335041@24.23.35 (190800-646585959):207)
09-19 20:15:04.216  1186  4275 W PlatformConfigurator: 	at com.google.android.chimera.IntentOperation.onHandleIntent(:com.google.android.gms@242335041@24.23.35 (190800-646585959):2)
09-19 20:15:04.216  1186  4275 W PlatformConfigurator: 	at ajom.onHandleIntent(:com.google.android.gms@242335041@24.23.35 (190800-646585959):8)
09-19 20:15:04.216  1186  4275 W PlatformConfigurator: 	at pkf.run(:com.google.android.gms@242335041@24.23.35 (190800-646585959):70)
09-19 20:15:04.216  1186  4275 W PlatformConfigurator: 	at pke.run(:com.google.android.gms@242335041@24.23.35 (190800-646585959):152)
09-19 20:15:04.216  1186  4275 W PlatformConfigurator: 	at emsz.run(:com.google.android.gms@242335041@24.23.35 (190800-646585959):21)
09-19 20:15:04.216  1186  4275 W PlatformConfigurator: 	at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1145)
09-19 20:15:04.216  1186  4275 W PlatformConfigurator: 	at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:644)
09-19 20:15:04.216  1186  4275 W PlatformConfigurator: 	at java.lang.Thread.run(Thread.java:1012)
09-19 20:15:04.218  1186  4169 W PlatformConfigurator: Update for unknown DeviceConfig package com.google.android.gms.dtdi_logging#com.google.android.gms [CONTEXT service_id=204 ]
09-19 20:15:04.218  1186  4169 W PlatformConfigurator: daaf: No package exists for config package: com.google.android.gms.dtdi_logging#com.google.android.gms
09-19 20:15:04.218  1186  4169 W PlatformConfigurator: 	at com.google.android.gms.platformconfigurator.PhenotypeConfigurationUpdateListener.b(:com.google.android.gms@242335041@24.23.35 (190800-646585959):233)
09-19 20:15:04.218  1186  4169 W PlatformConfigurator: 	at com.google.android.gms.platformconfigurator.PhenotypeConfigurationUpdateListener.a(:com.google.android.gms@242335041@24.23.35 (190800-646585959):29)
09-19 20:15:04.218  1186  4169 W PlatformConfigurator: 	at com.google.android.gms.platformconfigurator.PhenotypeConfigurationUpdateListener.onHandleIntent(:com.google.android.gms@242335041@24.23.35 (190800-646585959):207)
09-19 20:15:04.218  1186  4169 W PlatformConfigurator: 	at com.google.android.chimera.IntentOperation.onHandleIntent(:com.google.android.gms@242335041@24.23.35 (190800-646585959):2)
09-19 20:15:04.218  1186  4169 W PlatformConfigurator: 	at ajom.onHandleIntent(:com.google.android.gms@242335041@24.23.35 (190800-646585959):8)
09-19 20:15:04.218  1186  4169 W PlatformConfigurator: 	at pkf.run(:com.google.android.gms@242335041@24.23.35 (190800-646585959):70)
09-19 20:15:04.218  1186  4169 W PlatformConfigurator: 	at pke.run(:com.google.android.gms@242335041@24.23.35 (190800-646585959):152)
09-19 20:15:04.218  1186  4169 W PlatformConfigurator: 	at emsz.run(:com.google.android.gms@242335041@24.23.35 (190800-646585959):21)
09-19 20:15:04.218  1186  4169 W PlatformConfigurator: 	at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1145)
